Location(x=-45.317440, y=-11.645325, z=0.600002)
Location(x=-78.034149, y=12.967159, z=0.600000)
Location(x=67.659744, y=69.822777, z=0.600000)
Location(x=-114.232773, y=43.821014, z=0.600000)
Location(x=-110.963745, y=59.689358, z=0.600000)
Location(x=45.382851, y=13.414804, z=0.600000)
Location(x=-113.648178, y=-14.281184, z=0.600000)
Location(x=14.274853, y=-67.899994, z=0.600000)
Location(x=-64.644844, y=24.471010, z=0.600000)
Location(x=-28.581730, y=140.535553, z=0.600000)
Location(x=99.078560, y=42.141800, z=0.600000)
Location(x=-45.149696, y=55.715389, z=0.600000)
Location(x=20.452812, y=13.196091, z=0.700000)
Location(x=85.982246, y=66.358490, z=0.600000)
Location(x=-45.311253, y=-1.694395, z=0.600000)
Location(x=-41.668877, y=48.905540, z=0.600000)
Location(x=-52.073921, y=63.538094, z=0.600000)
Location(x=-15.407496, y=133.728470, z=0.600000)
Location(x=-17.105402, y=13.257457, z=0.600000)
Location(x=106.377342, y=-1.649443, z=0.600000)
Location(x=-6.554498, y=137.225952, z=0.600000)
Location(x=-52.330811, y=-14.039614, z=0.600000)
Location(x=73.632927, y=66.358490, z=0.600000)
Location(x=61.602592, y=66.358490, z=0.599999)
Location(x=7.411115, y=-60.899998, z=0.600000)
Location(x=6.006511, y=66.283257, z=0.600000)
Location(x=57.568340, y=-67.849854, z=0.600000)
Location(x=-13.339423, y=-61.050091, z=0.600000)
Location(x=-41.668587, y=89.745483, z=0.600000)
Location(x=54.469772, y=-64.348633, z=0.600000)
Location(x=-89.885788, y=27.934278, z=0.600000)
Location(x=-41.833862, y=-16.555164, z=0.600002)
Location(x=11.176284, y=-64.398766, z=0.600000)
Location(x=109.523270, y=89.836723, z=0.600000)
Location(x=26.382587, y=-57.401386, z=0.600000)
Location(x=77.008102, y=24.849667, z=0.600000)
Location(x=52.789970, y=69.822777, z=0.600000)
Location(x=-41.825108, y=-6.604221, z=0.600000)
Location(x=80.265495, y=16.907003, z=0.600000)
Location(x=32.992611, y=-67.899994, z=0.600000)
Location(x=109.956909, y=-27.333675, z=0.600000)
Location(x=-7.966957, y=66.283257, z=0.600000)
Location(x=106.513153, y=-21.554596, z=0.900000)
Location(x=-1.013160, y=69.714005, z=0.600000)
Location(x=-67.045288, y=-68.693169, z=0.600000)
Location(x=-27.160252, y=137.044220, z=0.600000)
Location(x=74.798752, y=28.343533, z=0.600000)
Location(x=22.881157, y=-60.899998, z=0.600000)
Location(x=-76.666107, y=24.471010, z=0.600000)
Location(x=-20.115120, y=16.749100, z=0.600000)
Location(x=-75.343872, y=16.474657, z=0.600000)
Location(x=48.546078, y=140.975540, z=0.600001)
Location(x=-41.749878, y=-41.373684, z=0.600000)
Location(x=59.812996, y=24.850224, z=0.600000)
Location(x=-52.330811, y=-28.861330, z=0.600000)
Location(x=-110.764435, y=46.660076, z=0.600000)
Location(x=102.566177, y=43.965668, z=0.600000)
Location(x=27.142294, y=66.283257, z=0.600000)
Location(x=109.913483, y=-6.925447, z=0.600000)
Location(x=-41.853989, y=-30.438610, z=0.600071)
Location(x=-79.275833, y=27.963758, z=0.600000)
Location(x=-0.764156, y=24.613132, z=0.600000)
Location(x=-28.726021, y=28.104218, z=0.600000)
Location(x=17.091217, y=28.104216, z=0.600000)
Location(x=-2.647038, y=-68.049721, z=0.600005)
Location(x=-9.875875, y=-57.551670, z=0.600000)
Location(x=-66.794197, y=12.998389, z=0.600000)
Location(x=102.317673, y=80.414726, z=0.600000)
Location(x=62.025547, y=16.905891, z=0.600000)
Location(x=-103.216141, y=-2.208392, z=0.600000)
Location(x=109.946968, y=-17.187952, z=0.599999)
Location(x=3.047784, y=130.210068, z=0.600000)
Location(x=-27.022133, y=69.714005, z=0.600000)
Location(x=109.502762, y=71.243790, z=0.600000)
Location(x=53.122719, y=133.946625, z=0.600029)
Location(x=-84.932762, y=16.474657, z=0.600000)
Location(x=-45.160957, y=92.455330, z=0.600000)
Location(x=10.912545, y=-57.401386, z=0.600000)
Location(x=65.235275, y=13.414804, z=0.600000)
Location(x=106.002838, y=92.812851, z=0.600000)
Location(x=-52.186737, y=42.565125, z=0.600000)
Location(x=44.028950, y=52.548698, z=0.600000)
Location(x=-5.783490, y=-64.548683, z=0.600005)
Location(x=57.403645, y=28.343533, z=0.600000)
Location(x=-25.516296, y=24.613134, z=0.600000)
Location(x=-114.432091, y=56.850296, z=0.600000)
Location(x=-18.782679, y=-64.708092, z=0.900005)
Location(x=-52.073921, y=82.654968, z=0.600000)
Location(x=32.337723, y=130.460068, z=0.600000)
Location(x=-9.175960, y=140.709900, z=0.600000)
Location(x=-48.839951, y=-32.034920, z=0.600000)
Location(x=-45.340046, y=-25.565022, z=0.600071)
Location(x=-44.982998, y=114.955147, z=0.600000)
Location(x=-106.686729, y=-4.847458, z=0.600000)
Location(x=-48.839951, y=-17.213200, z=0.600000)
Location(x=106.028816, y=67.419983, z=0.600000)
Location(x=-114.588699, y=70.059807, z=0.600000)
Location(x=19.350212, y=137.459961, z=0.600000)
Location(x=30.018200, y=133.947205, z=0.600000)
Location(x=-71.269684, y=132.314896, z=0.600000)
Location(x=40.389641, y=41.945496, z=0.600000)
Location(x=99.434853, y=-19.657715, z=0.600000)
Location(x=99.384415, y=-6.305729, z=0.600000)
Location(x=55.542278, y=130.460068, z=0.600029)
Location(x=-113.403503, y=-25.767477, z=0.599995)
